Timestamp;GasRapid;GasFast;GasStandard;GasSlow;ValidatorsEntering;ValidatorsExiting;TotalValidatorsCount;TotalETHSupply;ETHBTC;ETHUSD;TransactionCountLast1Min;DetailedETHSupply;Eth2Staking;BurntFees;WithdrawnTotal;RSI;MACD;MACD_signal
2024-02-25 19:51:34;44566923297;32425977835;32425977835;32425977835;58;0;963989;122373866.2178;0.0594002467;3062.3491283064;578;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;58.9643468748;1.267689223;0.9341776549
2024-02-25 19:53:27;41715890096;31516717369;31516717369;31516717369;44;0;964003;122373866.2178;0.0594175061;3062.0192961723;643;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;53.8591625091;1.2121488313;0.9918140554
2024-02-25 19:55:22;42000000000;28265884559;28265884559;28265884559;44;0;964003;122373866.2178;0.0593886232;3061.5924057433;561;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;55.1117812214;1.131022313;1.0417271894
2024-02-25 19:57:14;39262755283;26467395553;26467395553;26467395553;44;0;964003;122373866.2178;0.0593878242;3061.5236299387;870;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;57.1505786354;1.1451020335;1.0744427082
2024-02-25 19:59:06;37237733056;27258697989;27258697989;27258697989;30;0;964017;122373866.2178;0.059383544;3061.9215254674;710;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;58.4583059421;1.1699279271;1.1003566565
2024-02-25 20:00:55;34000000000;26684283102;26665313310;26665313310;30;0;964017;122373866.2178;0.0594426886;3066.20889273;970;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;59.2416134119;1.5911592824;1.3039969585
2024-02-25 20:02:47;60000000000;30551514500;29544751720;29544751720;30;0;964017;122373866.2178;0.0594282609;3065.3070390013;847;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;59.2847737956;1.5415041597;1.378920277
2024-02-25 20:04:38;29970000000;25689408726;25689408726;25689408726;30;0;964017;122373866.2178;0.0594193448;3063.8185384239;827;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;52.1401380361;1.1231721247;1.2957349776
2024-02-25 20:06:29;30236741037;24653925383;24653925383;24653925383;16;2;964031;122373866.2178;0.0594232229;3062.533883089;647;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;48.4890124204;0.9266686414;1.2262613115
2024-02-25 20:08:35;39465284208;30000000000;28615633948;28615633948;16;2;964031;122373866.2178;0.0594360249;3064.2364089804;656;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;55.7931227583;0.8648186564;1.0929080059
2024-02-25 20:10:29;36597581590;26148627730;26148627730;26148627730;16;2;964031;122373866.2178;0.0594295633;3063.7060357732;658;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;50.6867267719;0.8223565022;1.016789598
2024-02-25 20:12:40;33475876689;26646244816;26646244816;26646244816;2;3;964045;122373866.2178;0.0594404505;3064.1542612961;666;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;54.0291515342;0.7933198103;0.9398445388
2024-02-25 20:15:01;35486530337;27533980011;27533980011;27533980011;2;3;964045;122373866.2178;0.0594649728;3065.1558365948;540;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;59.2176875767;1.0571320994;0.9617048668
2024-02-25 20:16:57;36760000000;27936523852;27936523852;27936523852;2;3;964045;122373866.2178;0.0594583941;3064.3272750885;579;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;52.8195341259;0.9840842375;0.9927866534
2024-02-25 20:18:51;35807704248;27965645656;27965645656;27965645656;0;3;964047;122373866.2178;0.0594482667;3062.7630776645;670;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;46.2615735026;0.5558677793;0.8740547902
2024-02-25 20:20:52;37970989154;27696164425;27696164425;27696164425;0;3;964047;122373866.2178;0.0594411922;3062.8607426007;639;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;50.162113098;0.3827184012;0.7057805005
2024-02-25 20:22:53;34603408660;26367656507;26367656507;26367656507;0;3;964047;122373866.2178;0.059442757;3061.802906358;1061;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;45.595005525;0.1137358325;0.5280172258
2024-02-25 20:24:52;37235236671;25996542307;25996542307;25996542307;0;3;964047;122373866.2178;0.0594437602;3062.343369238;853;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;46.7176026512;-0.0440592677;0.3388941004
2024-02-25 20:26:54;36316885923;30945888428;30945888428;30945888428;0;3;964047;122373866.2178;0.0594509734;3063.7492414262;684;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;53.05111148;0.1675922162;0.2834393512
2024-02-25 20:28:56;42539000000;33537700485;33537700485;33537700485;0;3;964047;122373866.2178;0.0594752844;3071.5167838215;478;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;74.9525226243;2.8527875134;1.151544621
2024-02-25 20:30:47;52088016359;40793952160;40793952160;40793952160;0;3;964047;122373866.2178;0.0596283243;3080.1068307913;507;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;71.319489965;3.8731231204;2.0690686334
2024-02-25 20:32:42;51949184944;35874870288;35874870288;35874870288;0;3;964047;122373866.2178;0.0596168673;3080.4459421011;829;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;66.7785298452;4.4540182729;2.9242261195
